Jaar;Toestand 1977;Toestand 2004
1901;5058;5036
1902;5715;5691
1903;6081;6052
1904;3731;3723
1905;6697;6660
1906;6121;6091
1907;5058;5036
1908;6101;6072
1909;6868;6829
1910;6634;6598
1911;5570;5548
1912;5400;5380
1913;7794;7743
1914;6487;6453
1915;7218;7174
1916;7764;7713
1917;8045;7990
1918;7364;7318
1919;11712;11609
1920;3030;3030
1921;6347;6315
1922;6502;6467
1923;7018;6977
1924;9617;9542
1925;12849;12731
1926;5480;5459
1927;6747;6709
1928;5744;5719
1929;4809;4790
1930;9347;9275
1931;6080;6051
1932;4677;4659
1933;3135;3134
1934;6091;6062
1935;6131;6101
1936;7629;7580
1937;5246;5228
1938;6196;6165
1939;8877;8811
1940;8180;8123
1941;8761;8697
1942;3451;3446
1943;3957;3947
1944;8882;8816
1945;9413;9340
1946;6226;6195
1947;10134;10052
1948;3020;3020
1949;4677;4659
1950;6888;6848
1951;7429;7382
1952;7870;7818
1953;3596;3590
1954;9788;9710
1955;7859;7807
1956;7156;7113
1957;9480;9406
1958;5502;5481
1959;3433;3428
1960;5823;5797
1961;5951;5924
1962;3754;3746
1963;5423;5403
1964;6200;6169
1965;7562;7514
1966;7483;7436
1967;7478;7431
1968;5733;5709
1969;9928;9848
1970;3696;3689
1971;2280;2288
1972;4995;4974
1973;4037;4026
1974;5944;5917
1975;3469;3464
1976;6296;6290
1977;6373;6366
1978;6991;6981
1979;8839;8819
1980;6643;6635
1981;7960;7945
1982;9779;9754
1983;8720;8700
1984;4926;4926
1985;6212;6206
1986;7705;7691
1987;10378;10293
1988;5297;5296
1989;7113;7070
1990;6757;6748
1991;5401;5399
1992;5758;5755
1993;11100;11068
1994;12060;12022
1995;4112;4112
1996;7004;6994
1997;3912;3912
1998;9487;9463
1999;6640;6632
2000;8660;8641
2001;8073;8057
2002;9451;9428
2003;6771;6762
