Jaar;Toestand 1977;Toestand 2004
1901;5744;5719
1901;5912;5885
1903;5715;5691
1904;6081;6052
1906;5342;5323
1906;6697;6660
1907;6121;6091
1909;6101;6072
1910;6542;6507
1910;6593;6557
1910;6868;6829
1910;5465;5444
1910;6634;6598
1912;5570;5548
1913;5400;5380
1914;5774;5749
1914;7794;7743
1915;6487;6453
1915;6821;6782
1916;7218;7174
1917;7764;7713
1918;8045;7990
1919;7364;7318
1919;5546;5524
1920;10328;10243
1920;11712;11609
1922;6347;6315
1923;5851;5825
1923;6502;6467
1923;5805;5780
1923;6049;6020
1924;7018;6977
1924;5281;5263
1924;9617;9542
1926;12849;12731
1926;6385;6352
1927;5480;5459
1927;5389;5369
1928;6747;6709
1928;5744;5719
1930;6654;6617
1930;5465;5444
1930;9347;9275
1931;6171;6141
1931;5399;5379
1931;6318;6286
1932;6080;6051
1935;6091;6062
1935;5399;5379
1935;5835;5809
1936;6131;6101
1936;5424;5404
1936;5480;5459
1937;7629;7580
1937;6456;6422
1939;6196;6165
1939;5546;5524
1939;6634;6598
1939;8877;8811
1940;7111;7068
1940;6064;6035
1941;8180;8123
1941;5627;5604
1942;8761;8697
1944;8595;8533
1945;8882;8816
1946;9413;9340
1947;6226;6195
1948;10134;10052
1948;7152;7109
1948;5612;5589
1950;6385;6352
1951;6888;6848
1952;5389;5369
1952;7429;7382
1952;5882;5856
1952;7050;7008
1952;7870;7818
1954;6014;5986
1955;9788;9710
1955;5511;5489
1956;7859;7807
1957;7156;7113
1958;9480;9406
1959;5513;5491
1961;5823;5797
1962;5607;5584
1962;5951;5924
1963;5423;5403
1965;6200;6169
1965;5173;5156
1965;5221;5203
1965;7280;7235
1966;7562;7514
1966;6780;6742
1966;7483;7436
1967;6740;6702
1967;6538;6503
1968;7478;7431
1968;5733;5709
1969;5352;5333
1970;9928;9848
1970;5168;5151
1970;7449;7402
1974;5216;5198
1974;5944;5917
1977;6296;6290
1978;6090;6085
1978;6373;6366
1979;5476;5474
1979;6658;6650
1979;6991;6981
1979;5713;5710
1980;8839;8819
1980;6485;6478
1981;5610;5607
1981;6643;6635
1981;6121;6116
1981;6735;6726
1982;7960;7945
1982;7299;7287
1982;7186;7175
1983;5622;5619
1983;9397;9374
1983;9779;9754
1984;5221;5220
1984;8720;8700
1984;5371;5370
1986;6212;6206
1986;5794;5790
1987;7705;7691
1987;7075;7064
1987;5719;5716
1988;5200;5200
1988;10378;10293
1988;5297;5296
1990;7113;7070
1991;6757;6748
1991;5401;5399
1993;5758;5755
1993;11100;11068
1994;5916;5912
1994;5399;5397
1995;12060;12022
1995;5428;5426
1995;5561;5559
1997;7004;6994
1998;9487;9463
1999;8027;7972
1999;5012;5012
1999;6640;6632
2000;5315;5314
2000;5502;5500
2001;5058;5058
2001;5751;5748
2001;8660;8641
2002;5300;5299
2002;6094;6089
2002;5986;5981
2002;8073;8057
2002;7160;7149
2002;6518;6510
2003;9451;9428
2004;6771;6762
