HYD_YEAR,Q
2001,6216.97
2002,7055.34
2003,5489.12
2004,5183.17
2005,5995.93
2006,10102.88
2007,4703.73
2008,6115.84
2009,5704.44
2010,6391.49
2011,3235.35
2012,3755.11
2013,4828.6
2014,3651.02
2015,9099.34
2016,8082.95
2017,6348.72
2018,6691.76
2019,4940.85
2020,8884.05
2021,3015.88
2022,6637.2
2023,7746.07
2024,5771.91
2025,5478.5
2026,5160.09
2027,8341.61
2028,4013.67
2029,8327.66
2030,5072.67
2031,2930.87
2032,7506.1
2033,5377.02
2034,11269.75
2035,4459.35
2036,8140.07
2037,6335.42
2038,6376.84
2039,2789.86
2040,6387.5
2041,4245.26
2042,4191.1
2043,4909.89
2044,4235.84
2045,5952.73
2046,8453.58
2047,4895.06
2048,7517.48
2049,5897.16
2050,5299.29
2051,10717.12
2052,9267.96
2053,8167.04
2054,6175.58
2055,3847.63
2056,5461.51
2057,7881.87
2058,7464.42
2059,9373.32
2060,7038.85
2061,5608.37
2062,7016.25
2063,7403.66
2064,2488.32
2065,8570.55
2066,3291.55
2067,4175.14
2068,5000.77
2069,2327.99
2070,7591.4
2071,4930.71
2072,6998.36
2073,7844.02
2074,4603.93
2075,6942.08
2076,5729.23
2077,4248.66
2078,4797.88
2079,15670.79
2080,2266.48
2081,4529.42
2082,2812.53
2083,8308.28
2084,4770.37
2085,7914.11
2086,7681.4
2087,3769.74
2088,4101.43
2089,2479.88
2090,5882.03
2091,8155.87
2092,4981.0
2093,8958.47
2094,7770.07
2095,4378.62
2096,3683.79
2097,6189.0
2098,9733.15
2099,5007.45
2100,9783.58
2101,6266.41
2102,6692.46
2103,4462.02
2104,5493.55
2105,7459.39
2106,9395.53
2107,9545.11
2108,3328.59
2109,5571.71
2110,10257.99
2111,5821.14
2112,7572.8
2113,6915.19
2114,3663.33
2115,6070.75
2116,6018.98
2117,6736.24
2118,2239.68
2119,5153.27
2120,7919.79
2121,9198.69
2122,7398.33
2123,3078.85
2124,4286.07
2125,7089.3
2126,3345.99
2127,6880.9
2128,3749.07
2129,6471.17
2130,5759.57
2131,4322.14
2132,6819.94
2133,4616.33
2134,8325.11
2135,5057.24
2136,5532.38
2137,6912.0
2138,8175.92
2139,7600.38
2140,5522.57
2141,9666.52
2142,9689.35
2143,6662.9
2144,5346.37
2145,9954.68
2146,8410.39
2147,7923.18
2148,3600.93
2149,5129.61
2150,3474.91
2151,7461.8
2152,5087.73
2153,4494.65
2154,5195.51
2155,9922.36
2156,5441.82
2157,6490.91
2158,8096.18
2159,6093.13
2160,5786.39
2161,9195.06
2162,4292.65
