#MAAS;;;;;;;RIJN;;
#;Zonder overstromen;;Met overstromen;;;;;Met overstromen;
#Herhalingstijd;Q;Sigma;Q;sigma;;;Herhalingstijd;Q;sigma
#(jaar);(WBI2017);(WBI2017);(UPDATE);(UPDATE);;;(jaar);(UPDATE);(UPDATE)
2;1440;87;1410;85;;;2;5940;336
5;1970;119;1930;116;;;5;7970;437
10;2300;148;2260;143;;;10;9129;486
20;2600;211;2560;203;;;20;10250;559
30;2780;247;2740;238;;;30;10905;594
50;2970;275;2930;268;;;50;11705;724
100;3220;293;3190;291;;;100;12773;667
250;3520;289;3490;287;;;250;13785;559
300;3570;292;3540;290;;;300;14004;563
500;3700;309;3650;301;;;500;14400;585
1000;3860;340;3770;321;;;1000;14835;630
1250;3910;352;3810;329;;;1250;14974;647
2000;4020;380;3880;344;;;2000;15268;690
3000;4120;409;3950;362;;;3000;15520;731
4000;4190;431;4000;375;;;4000;15700;762
5000;4240;447;4050;389;;;5000;15839;788
10000;4400;500;4210;437;;;10000;16271;872
20000;4560;557;4370;490;;;20000;16703;963
30000;4650;590;4460;521;;;30000;16956;1018
50000;4770;634;4580;564;;;50000;17275;1090
100000;4940;699;4740;623;;;100000;17707;1189
