Scenario;b24000;maxQ_14199_maxV_28.8_year_3345;maxQ_14210_maxV_18.1_year_2288;maxQ_14256_maxV_11.5_year_3236;maxQ_14434_maxV_14.1_year_3126;maxQ_14450_maxV_23.4_year_3048;maxQ_14567_maxV_18.9_year_7445;maxQ_14594_maxV_23.3_year_9987;maxQ_14756_maxV_14.5_year_7191;maxQ_14808_maxV_23.1_year_9093;maxQ_14848_maxV_23.6_year_7451;maxQ_14995_maxV_16.0_year_9555;maxQ_15047_maxV_19.1_year_3884;maxQ_15162_maxV_16.9_year_2826;maxQ_15199_maxV_28.2_year_5313;maxQ_15333_maxV_27.9_year_3710;maxQ_15408_maxV_22.6_year_9875;maxQ_15494_maxV_26.5_year_8336;maxQ_15579_maxV_18.8_year_2831;maxQ_15690_maxV_25.2_year_2944;maxQ_15769_maxV_17.6_year_2168;maxQ_15936_maxV_18.6_year_8232;maxQ_16210_maxV_23.0_year_3284;maxQ_16252_maxV_16.7_year_3423;maxQ_16499_maxV_22.5_year_6390;maxQ_16537_maxV_25.4_year_8516;maxQ_16656_maxV_16.8_year_6253;maxQ_16675_maxV_27.6_year_7706;maxQ_16808_maxV_19.1_year_9324;maxQ_16872_maxV_27.6_year_4891;maxQ_16957_maxV_18.7_year_3236;maxQ_17066_maxV_34.8_year_7593;maxQ_17075_maxV_21.0_year_9681;maxQ_17176_maxV_38.4_year_2560;maxQ_17271_maxV_22.3_year_8813;maxQ_17332_maxV_27.1_year_8632;maxQ_17415_maxV_16.6_year_6576;maxQ_17456_maxV_24.8_year_3843;maxQ_17523_maxV_21.0_year_5296;maxQ_17576_maxV_26.9_year_6510;maxQ_18567_maxV_30.2_year_3147;maxQ_18802_maxV_21.1_year_8276;maxQ_18861_maxV_25.7_year_9470;maxQ_19050_maxV_26.9_year_3672;maxQ_20495_maxV_21.6_year_7971;maxQ_21124_maxV_26.2_year_9605;s14000;s16000;s18000;s20000;s30000
Sum0;18366.6582;15443.72461;16137.41797;13939.31934;15283.61426;14996.19043;15254.47168;15745.59473;15010.76465;15047.76953;15349.25977;15827.79102;15964.13574;14910.9248;15782.58594;15822.92773;15693.95117;15667.99414;16365.2334;16447.26367;15589.90137;15290.65039;16339.43262;15885.00195;16340.02344;15982.24316;15848.09668;16505.08984;16490.46289;15772.46484;16234.34473;17003.60742;16054.1543;16510.99219;15909.69727;17153.66211;16207.29004;16310.94141;16150.81348;16454.70508;17591.03906;17395.99609;17713.74805;17370.9668;17018.7793;17087.11914;14736.45898;15357.1416;16979.44531;17659.89844;18921.39258
Sum1;18338.64453;15562.20898;16553.69531;13956.1543;15518.05469;15173.58008;15565.54102;16100.97754;15329.26758;15335.12207;15586.21387;16264.37402;16380.79492;15288.51172;16210.5332;16195.19727;16097.82324;16184.99902;16883.28516;16990.70703;16019.12109;15791.09277;16893.75781;16414.8125;16915.80469;16505.20508;16394.77539;17077.06836;17075.19531;16223.75781;16864.42969;17400.26563;16651.11914;17054.00195;16459.99609;17656.64258;16793.22266;16868.56836;16690.69922;17035.23047;17923.97266;17735.88867;18152.74219;17569.36133;17371.59961;17372.10352;14816.92578;15867.01758;17457.4043;18204.84375;19263.16406
Sum2;17922.06055;14825.53223;15239.08984;13438.72559;14287.7832;14167.17285;14360.81738;14979.51953;14114.96094;14308.72559;14539.1543;14947.88672;15061.55273;14067.17676;15094.6709;15135.90625;15016.21484;14958.16895;15577.67285;15744.64453;14893.08789;14584.55078;15888.04395;15175.13184;15710.18848;15528.41602;15129.30762;16052.13965;15717.80273;15549.04785;15721.71191;16351.53516;15683.54297;16009.37988;15438.43262;16400.25586;15635.57129;15867.33887;15723.75781;15936.83594;16457.57031;16306.83691;16568.7168;16336.49902;16107.2627;16068.69531;13949.08105;14624.68457;16141.26953;16521.56055;18059.85547
Sum3;17823.94531;14487.88184;14966.6416;13166.99805;13969.56055;13874.24609;13941.22559;14707.30371;13686.58984;14135.73242;14303.53418;14665.49219;14795.26563;13650.59473;15219.01758;14860.61621;14848.06445;15308.25781;15526.44141;15705.70898;14509.7832;14416.83594;15773.1748;15058.375;15723.77148;15533.40625;14957.94922;15934.53906;15705.06055;15405.41602;15592.77148;16212.61328;15520.5957;15925.56738;15341.71191;16269.49707;15548.2334;15759.35645;15565.55176;15758.15137;16286.74805;16128.55957;16360.97168;16181.20801;15938.56836;15896.90234;13669.31348;14243.87988;15998.25879;16373.23926;17962.36523
Sum4;16002.5332;14611.64258;14882.05566;12715.16211;13659.74023;13841.69043;13933.09375;14738.41113;13506.52148;14307.82227;14322.24707;14598.31738;14574.72559;13593.05566;14935.42676;14924.08984;14899.66406;14876.29102;15102.06348;15216.39453;14721.53906;14524.35156;15163.24902;14795.79297;15157.19824;15043.98242;14767.06152;15635.15918;15138.83105;14933.39648;15040.87207;15744.1084;14985.32324;15441.00684;14846.8877;15404.82813;15005.55078;15156.5166;15072.4707;15132.96973;15800.02246;15574.17676;15726.20215;15678.63965;15266.44336;15255.63965;13312.80371;14297.91113;15268.87207;15792.42676;16115.47461
Sum5;16721.97656;14908.96582;15299.10645;12978.90332;14245.07324;14198.19922;14244.52637;14934.74121;13926.35059;14375.78809;14601.35547;14940.58301;14964.24219;13929.26367;15381.34766;15337.66211;15235.7666;15414.79785;15645.74316;15775.52441;15046.53516;14795.13086;15866.63281;15200.26367;15803.28516;15680.33203;15143.97363;15956.24316;15761.98828;15630.48145;15719.45508;16173.21289;15679.41309;15963.24902;15455.15332;16142.36328;15652.68066;15866.93262;15755.99707;15862.77832;16373.88672;16092.88379;16222.54004;16128.89941;15995.79883;15987.72559;13856.10547;14567.39063;16001.37793;16431.83008;16874.07617
Sum6;15653.06934;13584.42871;13718.41309;11924.44336;12881.73926;13077.18164;13046.71289;14017.70117;12757.94238;13450.53613;13321.77148;13448.47656;13526.95801;12802.43262;14538.85059;13613.74316;13654.49219;14274.91602;13856.7666;14204.80762;13409.79004;13220.23828;14679.6748;13487.23828;13899.69824;14139.56152;13404.59277;15370.22266;13872.88379;15080.05176;13724.48145;15452.16113;14121.8418;15380.46289;13509.73145;15249.6377;13688.01563;15055.94824;14459.61816;14772.85547;15492.3457;15300.52246;15435.7666;15425.625;14618.68359;15177.32715;12539.46875;13234.8252;14534.39453;15467.45605;15776.54199
Sum7;16166.13086;14484.82031;14574.16406;12710.84961;13458.96582;13589.28027;13670.68066;14511.30078;13282.41406;14120.61133;14159.22363;14326.98535;14375.28027;13334.95898;14612;14637.38672;14571.33008;14533.44727;14820.99414;14954.16309;14411.34473;14182.49902;14872.47656;14460.50293;14874.01172;14691.65527;14424.04199;15539.87793;14849.49121;14591.54297;14693.89746;15902.76855;14624.08984;15099.68457;14481.46582;15132.64941;14661.60742;14834.65625;14732.9043;14801.20215;15982.96582;15417.36621;15858.38184;15803.0127;14950.44629;14930.61426;13224.92188;14105.09082;14951.59863;15996.70508;16265.56445
Sum8;17424.30664;14812.60156;15178.05176;13199.98242;14180.11523;14135.72266;14279.40332;14926.94629;14020.81836;14259.36328;14489.11426;14901.6748;15008.56348;13991.14648;15287.30273;14993.00879;14935.69141;15277.42969;15562.71094;15718.55469;14745.6084;14552.25391;15706.4375;15081.41016;15661.07422;15488.25488;14984.12695;15808.50977;15666.68359;15358.3916;15553.3252;16065.95703;15484.95996;15788.4209;15318.36426;16115.46289;15526.32813;15654.48047;15528.10449;15691.22656;16306.35742;16052.57715;16241.54395;16093.35449;15901.3623;15881.5625;13869.40039;14531.44043;15908.78516;16585.03711;17580.94727
Sum9;17799.66992;15281.31641;15937.3291;13749.75977;14855.46582;14563.63574;14869.90234;15510.87012;14581.66504;14919.13477;15133.14941;15648.43945;15706.95117;14569.55176;15617.12305;15665.05469;15594.56543;15535.7207;16204.35742;16287.06543;15387.78613;15166.27539;16354.85645;15694.16113;16177.33691;15862.96582;15643.11133;16663.6875;16398.55469;15999.84863;16395.58203;16984.55273;16275.6875;16630.94141;15924.44141;17009.36133;16322.36523;16495.43555;16311.94434;16596.01953;17168.33008;17082.05664;17232.92383;17090.39258;16933.98828;16930.73047;14385.26172;15277.11328;16850.66797;17227.51172;17974.95898
