# StdGumVar, Herhaaltijd, Afvoer [m3/s]
     -2.761,       1.000,    1100.000
     -2.554,       1.000,    1200.000
     -2.421,       1.000,    1300.000
     -2.319,       1.000,    1400.000
     -2.234,       1.000,    1500.000
     -2.157,       1.000,    1600.000
     -2.080,       1.000,    1700.000
     -2.003,       1.001,    1800.000
     -1.928,       1.001,    1900.000
     -1.861,       1.002,    2000.000
     -1.803,       1.002,    2100.000
     -1.750,       1.003,    2200.000
     -1.684,       1.005,    2300.000
     -1.603,       1.007,    2400.000
     -1.522,       1.010,    2500.000
     -1.454,       1.014,    2600.000
     -1.391,       1.018,    2700.000
     -1.327,       1.024,    2800.000
     -1.266,       1.030,    2900.000
     -1.210,       1.036,    3000.000
     -1.154,       1.044,    3100.000
     -1.096,       1.053,    3200.000
     -1.037,       1.063,    3300.000
     -0.978,       1.075,    3400.000
     -0.919,       1.089,    3500.000
     -0.862,       1.103,    3600.000
     -0.807,       1.119,    3700.000
     -0.754,       1.136,    3800.000
     -0.701,       1.154,    3900.000
     -0.649,       1.173,    4000.000
     -0.597,       1.194,    4100.000
     -0.545,       1.217,    4200.000
     -0.492,       1.242,    4300.000
     -0.438,       1.269,    4400.000
     -0.384,       1.299,    4500.000
     -0.330,       1.331,    4600.000
     -0.277,       1.365,    4700.000
     -0.223,       1.402,    4800.000
     -0.169,       1.441,    4900.000
     -0.116,       1.482,    5000.000
     -0.062,       1.527,    5100.000
     -0.007,       1.575,    5200.000
      0.047,       1.627,    5300.000
      0.102,       1.681,    5400.000
      0.156,       1.740,    5500.000
      0.211,       1.802,    5600.000
      0.266,       1.867,    5700.000
      0.320,       1.938,    5800.000
      0.375,       2.012,    5900.000
      0.431,       2.092,    6000.000
      0.487,       2.178,    6100.000
      0.543,       2.269,    6200.000
      0.599,       2.366,    6300.000
      0.656,       2.469,    6400.000
      0.712,       2.580,    6500.000
      0.770,       2.697,    6600.000
      0.827,       2.823,    6700.000
      0.885,       2.956,    6800.000
      0.942,       3.098,    6900.000
      1.000,       3.248,    7000.000
      1.057,       3.407,    7100.000
      1.114,       3.574,    7200.000
      1.171,       3.751,    7300.000
      1.227,       3.936,    7400.000
      1.283,       4.131,    7500.000
      1.338,       4.335,    7600.000
      1.394,       4.550,    7700.000
      1.448,       4.776,    7800.000
      1.503,       5.014,    7900.000
      1.558,       5.265,    8000.000
      1.612,       5.529,    8100.000
      1.666,       5.807,    8200.000
      1.720,       6.100,    8300.000
      1.774,       6.408,    8400.000
      1.828,       6.734,    8500.000
      1.882,       7.078,    8600.000
      1.936,       7.441,    8700.000
      1.990,       7.826,    8800.000
      2.044,       8.232,    8900.000
      2.098,       8.664,    9000.000
      2.153,       9.122,    9100.000
      2.208,       9.609,    9200.000
      2.264,      10.128,    9300.000
      2.320,      10.680,    9400.000
      2.376,      11.269,    9500.000
      2.433,      11.896,    9600.000
      2.490,      12.565,    9700.000
      2.547,      13.281,    9800.000
      2.606,      14.049,    9900.000
      2.665,      14.872,   10000.000
      2.725,      15.756,   10100.000
      2.785,      16.707,   10200.000
      2.846,      17.731,   10300.000
      2.908,      18.832,   10400.000
      2.971,      20.016,   10500.000
      3.034,      21.288,   10600.000
      3.098,      22.651,   10700.000
      3.161,      24.109,   10800.000
      3.225,      25.668,   10900.000
      3.289,      27.330,   11000.000
      3.353,      29.101,   11100.000
      3.417,      30.990,   11200.000
      3.481,      33.004,   11300.000
      3.545,      35.155,   11400.000
      3.610,      37.459,   11500.000
      3.674,      39.930,   11600.000
      3.740,      42.590,   11700.000
      3.806,      45.461,   11800.000
      3.873,      48.568,   11900.000
      3.940,      51.941,   12000.000
      4.009,      55.612,   12100.000
      4.080,      59.620,   12200.000
      4.151,      64.008,   12300.000
      4.224,      68.831,   12400.000
      4.299,      74.151,   12500.000
      4.376,      80.046,   12600.000
      4.456,      86.610,   12700.000
      4.538,      93.961,   12800.000
      4.622,     102.238,   12900.000
      4.711,     111.614,   13000.000
      4.802,     122.301,   13100.000
      4.898,     134.558,   13200.000
      4.999,     148.701,   13300.000
      5.104,     165.121,   13400.000
      5.214,     184.299,   13500.000
      5.329,     206.830,   13600.000
