  StdGumVar, Herhaaltijd, Afvoer [m3/s]
     -4.220,       1.000,     200.000
     -4.090,       1.000,     250.000
     -3.973,       1.000,     300.000
     -3.865,       1.000,     350.000
     -3.765,       1.000,     400.000
     -3.669,       1.000,     450.000
     -3.579,       1.000,     500.000
     -3.491,       1.000,     550.000
     -3.407,       1.000,     600.000
     -3.326,       1.000,     650.000
     -3.247,       1.000,     700.000
     -3.170,       1.000,     750.000
     -3.096,       1.000,     800.000
     -3.023,       1.000,     850.000
     -2.952,       1.000,     900.000
     -2.883,       1.000,     950.000
     -2.816,       1.000,    1000.000
     -2.750,       1.000,    1050.000
     -2.687,       1.000,    1100.000
     -2.625,       1.000,    1150.000
     -2.566,       1.000,    1200.000
     -2.508,       1.000,    1250.000
     -2.452,       1.000,    1300.000
     -2.399,       1.000,    1350.000
     -2.348,       1.000,    1400.000
     -2.300,       1.000,    1450.000
     -2.253,       1.000,    1500.000
     -2.209,       1.000,    1550.000
     -2.166,       1.000,    1600.000
     -2.124,       1.000,    1650.000
     -2.084,       1.000,    1700.000
     -2.044,       1.000,    1750.000
     -2.005,       1.001,    1800.000
     -1.966,       1.001,    1850.000
     -1.929,       1.001,    1900.000
     -1.893,       1.001,    1950.000
     -1.859,       1.002,    2000.000
     -1.827,       1.002,    2050.000
     -1.799,       1.002,    2100.000
     -1.772,       1.003,    2150.000
     -1.746,       1.003,    2200.000
     -1.718,       1.004,    2250.000
     -1.685,       1.005,    2300.000
     -1.646,       1.006,    2350.000
     -1.603,       1.007,    2400.000
     -1.561,       1.009,    2450.000
     -1.523,       1.010,    2500.000
     -1.488,       1.012,    2550.000
     -1.456,       1.014,    2600.000
     -1.424,       1.016,    2650.000
     -1.392,       1.018,    2700.000
     -1.359,       1.021,    2750.000
     -1.327,       1.024,    2800.000
     -1.296,       1.027,    2850.000
     -1.266,       1.030,    2900.000
     -1.238,       1.033,    2950.000
     -1.209,       1.036,    3000.000
     -1.181,       1.040,    3050.000
     -1.153,       1.044,    3100.000
     -1.124,       1.048,    3150.000
     -1.096,       1.053,    3200.000
     -1.067,       1.058,    3250.000
     -1.037,       1.063,    3300.000
     -1.007,       1.069,    3350.000
     -0.978,       1.075,    3400.000
     -0.948,       1.082,    3450.000
     -0.918,       1.089,    3500.000
     -0.889,       1.096,    3550.000
     -0.861,       1.104,    3600.000
     -0.834,       1.111,    3650.000
     -0.807,       1.119,    3700.000
     -0.780,       1.127,    3750.000
     -0.753,       1.136,    3800.000
     -0.727,       1.145,    3850.000
     -0.701,       1.154,    3900.000
     -0.675,       1.163,    3950.000
     -0.649,       1.173,    4000.000
     -0.623,       1.183,    4050.000
     -0.597,       1.194,    4100.000
     -0.571,       1.205,    4150.000
     -0.545,       1.217,    4200.000
     -0.518,       1.229,    4250.000
     -0.492,       1.242,    4300.000
     -0.465,       1.256,    4350.000
     -0.438,       1.270,    4400.000
     -0.411,       1.284,    4450.000
     -0.384,       1.300,    4500.000
     -0.356,       1.315,    4550.000
     -0.329,       1.332,    4600.000
     -0.302,       1.349,    4650.000
     -0.275,       1.366,    4700.000
     -0.248,       1.384,    4750.000
     -0.221,       1.403,    4800.000
     -0.195,       1.422,    4850.000
     -0.168,       1.442,    4900.000
     -0.141,       1.462,    4950.000
     -0.115,       1.483,    5000.000
     -0.088,       1.505,    5050.000
     -0.061,       1.528,    5100.000
     -0.034,       1.551,    5150.000
     -0.007,       1.575,    5200.000
      0.020,       1.600,    5250.000
      0.047,       1.626,    5300.000
      0.074,       1.653,    5350.000
      0.101,       1.680,    5400.000
      0.128,       1.709,    5450.000
      0.155,       1.738,    5500.000
      0.183,       1.769,    5550.000
      0.210,       1.800,    5600.000
      0.237,       1.833,    5650.000
      0.265,       1.866,    5700.000
      0.292,       1.901,    5750.000
      0.320,       1.937,    5800.000
      0.347,       1.974,    5850.000
      0.375,       2.012,    5900.000
      0.403,       2.052,    5950.000
      0.431,       2.092,    6000.000
      0.459,       2.134,    6050.000
      0.487,       2.178,    6100.000
      0.515,       2.223,    6150.000
      0.543,       2.269,    6200.000
      0.571,       2.317,    6250.000
      0.600,       2.367,    6300.000
      0.628,       2.418,    6350.000
      0.656,       2.471,    6400.000
      0.685,       2.525,    6450.000
      0.713,       2.581,    6500.000
      0.742,       2.639,    6550.000
      0.770,       2.699,    6600.000
      0.799,       2.760,    6650.000
      0.827,       2.824,    6700.000
      0.856,       2.889,    6750.000
      0.885,       2.956,    6800.000
      0.913,       3.026,    6850.000
      0.942,       3.098,    6900.000
      0.971,       3.171,    6950.000
      0.999,       3.247,    7000.000
      1.028,       3.325,    7050.000
      1.057,       3.406,    7100.000
      1.085,       3.488,    7150.000
      1.114,       3.573,    7200.000
      1.142,       3.660,    7250.000
      1.170,       3.749,    7300.000
      1.198,       3.840,    7350.000
      1.227,       3.934,    7400.000
      1.255,       4.030,    7450.000
      1.282,       4.129,    7500.000
      1.310,       4.229,    7550.000
      1.338,       4.333,    7600.000
      1.366,       4.439,    7650.000
      1.393,       4.548,    7700.000
      1.421,       4.660,    7750.000
      1.448,       4.774,    7800.000
      1.475,       4.892,    7850.000
      1.503,       5.012,    7900.000
      1.530,       5.136,    7950.000
      1.557,       5.263,    8000.000
      1.584,       5.393,    8050.000
      1.611,       5.527,    8100.000
      1.639,       5.664,    8150.000
      1.666,       5.804,    8200.000
      1.693,       5.949,    8250.000
      1.720,       6.097,    8300.000
      1.746,       6.249,    8350.000
      1.773,       6.405,    8400.000
      1.800,       6.566,    8450.000
      1.827,       6.730,    8500.000
      1.854,       6.900,    8550.000
      1.881,       7.074,    8600.000
      1.908,       7.253,    8650.000
      1.935,       7.438,    8700.000
      1.962,       7.627,    8750.000
      1.989,       7.823,    8800.000
      2.017,       8.024,    8850.000
      2.044,       8.231,    8900.000
      2.071,       8.445,    8950.000
      2.099,       8.665,    9000.000
      2.126,       8.892,    9050.000
      2.154,       9.126,    9100.000
      2.181,       9.368,    9150.000
      2.209,       9.617,    9200.000
      2.237,       9.875,    9250.000
      2.265,      10.140,    9300.000
      2.293,      10.414,    9350.000
      2.321,      10.697,    9400.000
      2.350,      10.989,    9450.000
      2.378,      11.291,    9500.000
      2.407,      11.603,    9550.000
      2.435,      11.925,    9600.000
      2.464,      12.258,    9650.000
      2.493,      12.603,    9700.000
      2.522,      12.959,    9750.000
      2.551,      13.327,    9800.000
      2.580,      13.708,    9850.000
      2.610,      14.103,    9900.000
      2.639,      14.511,    9950.000
      2.669,      14.934,   10000.000
      2.699,      15.372,   10050.000
      2.729,      15.826,   10100.000
      2.759,      16.296,   10150.000
      2.790,      16.782,   10200.000
      2.820,      17.286,   10250.000
      2.851,      17.808,   10300.000
      2.882,      18.347,   10350.000
      2.912,      18.905,   10400.000
      2.943,      19.482,   10450.000
      2.974,      20.079,   10500.000
      3.005,      20.695,   10550.000
      3.036,      21.332,   10600.000
      3.067,      21.989,   10650.000
      3.098,      22.666,   10700.000
      3.129,      23.365,   10750.000
      3.161,      24.086,   10800.000
      3.192,      24.830,   10850.000
      3.223,      25.597,   10900.000
      3.254,      26.387,   10950.000
      3.285,      27.202,   11000.000
      3.316,      28.044,   11050.000
      3.347,      28.912,   11100.000
      3.378,      29.809,   11150.000
      3.409,      30.735,   11200.000
      3.440,      31.694,   11250.000
      3.471,      32.686,   11300.000
      3.503,      33.713,   11350.000
      3.534,      34.778,   11400.000
      3.566,      35.882,   11450.000
      3.598,      37.029,   11500.000
      3.630,      38.220,   11550.000
      3.662,      39.459,   11600.000
      3.695,      40.748,   11650.000
      3.728,      42.089,   11700.000
      3.761,      43.487,   11750.000
      3.794,      44.943,   11800.000
      3.828,      46.462,   11850.000
      3.862,      48.046,   11900.000
      3.896,      49.699,   11950.000
      3.930,      51.425,   12000.000
      3.965,      53.228,   12050.000
      4.000,      55.112,   12100.000
      4.036,      57.083,   12150.000
      4.071,      59.145,   12200.000
      4.108,      61.304,   12250.000
      4.144,      63.567,   12300.000
      4.181,      65.939,   12350.000
      4.218,      68.429,   12400.000
      4.256,      71.046,   12450.000
      4.295,      73.797,   12500.000
      4.333,      76.694,   12550.000
      4.373,      79.747,   12600.000
      4.412,      82.970,   12650.000
      4.453,      86.377,   12700.000
      4.494,      89.981,   12750.000
      4.536,      93.802,   12800.000
      4.578,      97.857,   12850.000
      4.622,     102.167,   12900.000
      4.666,     106.756,   12950.000
      4.711,     111.648,   13000.000
      4.757,     116.874,   13050.000
      4.804,     122.463,   13100.000
      4.852,     128.451,   13150.000
      4.901,     134.877,   13200.000
      4.951,     141.784,   13250.000
      5.002,     149.220,   13300.000
      5.055,     157.238,   13350.000
      5.108,     165.898,   13400.000
      5.163,     175.265,   13450.000
      5.220,     185.415,   13500.000
      5.278,     196.428,   13550.000
      5.337,     208.398,   13600.000
      5.398,     221.426,   13650.000
      5.460,     235.629,   13700.000
      5.524,     251.134,   13750.000
      5.589,     268.087,   13800.000
      5.657,     286.648,   13850.000
      5.725,     306.998,   13900.000
      5.796,     329.339,   13950.000
      5.868,     353.899,   14000.000
      5.941,     380.931,   14050.000
      6.017,     410.721,   14100.000
      6.094,     443.587,   14150.000
      6.173,     479.886,   14200.000
      6.253,     520.019,   14250.000
      6.335,     564.431,   14300.000
      6.419,     613.621,   14350.000
      6.504,     668.146,   14400.000
      6.590,     728.625,   14450.000
      6.679,     795.748,   14500.000
      6.768,     870.280,   14550.000
      6.859,     953.069,   14600.000
      6.951,    1045.051,   14650.000
      7.045,    1147.261,   14700.000
      7.139,    1260.833,   14750.000
      7.235,    1387.013,   14800.000
      7.331,    1527.163,   14850.000
      7.428,    1682.763,   14900.000
      7.526,    1855.423,   14950.000
      7.624,    2046.881,   15000.000
      7.722,    2259.013,   15050.000
      7.821,    2493.832,   15100.000
      7.920,    2753.490,   15150.000
      8.020,    3040.285,   15200.000
      8.119,    3356.659,   15250.000
      8.217,    3705.205,   15300.000
      8.316,    4088.666,   15350.000
      8.414,    4509.943,   15400.000
      8.511,    4972.104,   15450.000
      8.608,    5478.392,   15500.000
      8.705,    6032.241,   15550.000
      8.800,    6637.294,   15600.000
      8.895,    7297.432,   15650.000
      8.989,    8016.797,   15700.000
      9.082,    8799.840,   15750.000
      9.175,    9651.356,   15800.000
      9.266,   10576.545,   15850.000
      9.357,   11581.072,   15900.000
      9.447,   12671.136,   15950.000
      9.536,   13853.550,   16000.000
      9.625,   15135.839,   16050.000
      9.713,   16526.335,   16100.000
      9.800,   18034.296,   16150.000
      9.887,   19670.035,   16200.000
      9.973,   21445.064,   16250.000
     10.059,   23372.258,   16300.000
     10.145,   25466.039,   16350.000
     10.231,   27742.582,   16400.000
     10.316,   30220.056,   16450.000
     10.402,   32918.884,   16500.000
     10.487,   35862.058,   16550.000
     10.573,   39075.492,   16600.000
     10.659,   42588.421,   16650.000
     10.746,   46433.880,   16700.000
     10.833,   50649.243,   16750.000
     10.920,   55276.858,   16800.000
     11.008,   60364.788,   16850.000
     11.097,   65967.675,   16900.000
     11.186,   72147.753,   16950.000
     11.277,   78976.042,   17000.000
     11.368,   86533.760,   17050.000
     11.461,   94913.983,   17100.000
     11.554,  104223.624,   17150.000
     11.649,  114585.785,   17200.000
     11.745,  126142.558,   17250.000
     11.843,  139058.391,   17300.000
     11.942,  153524.117,   17350.000
     12.042,  169761.816,   17400.000
     12.144,  188030.698,   17450.000
     12.248,  208634.237,   17500.000
     12.354,  231928.866,   17550.000
     12.462,  258334.617,   17600.000
     12.572,  288348.183,   17650.000
     12.684,  322559.044,   17700.000
     12.798,  361669.440,   17750.000
     12.915,  406519.248,   17800.000
     13.035,  458117.110,   17850.000
     13.157,  517679.588,   17900.000
     13.282,  586680.667,   17950.000
     13.410,  666914.731,   18000.000
     13.542,  760577.117,   18050.000
     13.677,  870367.814,   18100.000
     13.815,  999625.842,   18150.000
     13.957, 1152504.571,   18200.000
     14.104, 1334202.129,   18250.000
     14.255, 1551266.540,   18300.000
     14.410, 1812003.087,   18350.000
     14.570, 2127022.842,   18400.000
     14.736, 2509987.995,   18450.000
     14.907, 2978634.378,   18500.000
     15.084, 3556188.719,   18550.000
     15.268, 4273354.551,   18600.000
     15.459, 5171127.535,   18650.000
     15.657, 6304836.699,   18700.000
     15.863, 7750023.610,   18750.000
     16.078, 9611119.309,   18800.000
     16.303, 12034450.886,   18850.000
     16.539, 15228068.451,   18900.000
     16.786, 19492525.489,   18950.000
     17.045, 25269623.697,   19000.000
     17.319, 33221302.118,   19050.000
     17.608, 44360399.587,   19100.000
     17.914, 60273188.119,   19150.000
     18.240, 83509325.364,   19200.000
     18.589, 118287856.090,   19250.000
     18.962, 171823153.358,   19300.000
     19.364, 256920813.684,   19350.000
     19.800, 397306511.763,   19400.000
     20.276, 639180361.023,   19450.000
     20.798, 1077920712.738,   19500.000
     21.378, 1924644424.037,   19550.000
     22.028, 3687914151.230,   19600.000
     22.768, 7728496348.408,   19650.000
