  StdGumVar, Herhaaltijd, Afvoer [m3/s]
     -2.966,       1.000,    1050.000
     -2.761,       1.000,    1100.000
     -2.642,       1.000,    1150.000
     -2.554,       1.000,    1200.000
     -2.483,       1.000,    1250.000
     -2.421,       1.000,    1300.000
     -2.367,       1.000,    1350.000
     -2.319,       1.000,    1400.000
     -2.274,       1.000,    1450.000
     -2.234,       1.000,    1500.000
     -2.195,       1.000,    1550.000
     -2.157,       1.000,    1600.000
     -2.119,       1.000,    1650.000
     -2.080,       1.000,    1700.000
     -2.041,       1.000,    1750.000
     -2.003,       1.001,    1800.000
     -1.965,       1.001,    1850.000
     -1.928,       1.001,    1900.000
     -1.894,       1.001,    1950.000
     -1.861,       1.002,    2000.000
     -1.831,       1.002,    2050.000
     -1.803,       1.002,    2100.000
     -1.777,       1.003,    2150.000
     -1.750,       1.003,    2200.000
     -1.719,       1.004,    2250.000
     -1.684,       1.005,    2300.000
     -1.645,       1.006,    2350.000
     -1.603,       1.007,    2400.000
     -1.562,       1.009,    2450.000
     -1.522,       1.010,    2500.000
     -1.487,       1.012,    2550.000
     -1.454,       1.014,    2600.000
     -1.423,       1.016,    2650.000
     -1.391,       1.018,    2700.000
     -1.359,       1.021,    2750.000
     -1.327,       1.024,    2800.000
     -1.296,       1.027,    2850.000
     -1.266,       1.030,    2900.000
     -1.238,       1.033,    2950.000
     -1.210,       1.036,    3000.000
     -1.182,       1.040,    3050.000
     -1.154,       1.044,    3100.000
     -1.125,       1.048,    3150.000
     -1.096,       1.053,    3200.000
     -1.067,       1.058,    3250.000
     -1.037,       1.063,    3300.000
     -1.007,       1.069,    3350.000
     -0.978,       1.075,    3400.000
     -0.948,       1.082,    3450.000
     -0.919,       1.089,    3500.000
     -0.890,       1.096,    3550.000
     -0.862,       1.103,    3600.000
     -0.834,       1.111,    3650.000
     -0.807,       1.119,    3700.000
     -0.780,       1.127,    3750.000
     -0.754,       1.136,    3800.000
     -0.727,       1.144,    3850.000
     -0.701,       1.154,    3900.000
     -0.675,       1.163,    3950.000
     -0.649,       1.173,    4000.000
     -0.623,       1.183,    4050.000
     -0.597,       1.194,    4100.000
     -0.571,       1.205,    4150.000
     -0.545,       1.217,    4200.000
     -0.518,       1.229,    4250.000
     -0.492,       1.242,    4300.000
     -0.465,       1.255,    4350.000
     -0.438,       1.269,    4400.000
     -0.411,       1.284,    4450.000
     -0.384,       1.299,    4500.000
     -0.357,       1.315,    4550.000
     -0.330,       1.331,    4600.000
     -0.303,       1.348,    4650.000
     -0.277,       1.365,    4700.000
     -0.250,       1.383,    4750.000
     -0.223,       1.402,    4800.000
     -0.196,       1.421,    4850.000
     -0.169,       1.441,    4900.000
     -0.142,       1.461,    4950.000
     -0.116,       1.482,    5000.000
     -0.089,       1.504,    5050.000
     -0.062,       1.527,    5100.000
     -0.034,       1.551,    5150.000
     -0.007,       1.575,    5200.000
      0.020,       1.601,    5250.000
      0.047,       1.627,    5300.000
      0.074,       1.654,    5350.000
      0.102,       1.681,    5400.000
      0.129,       1.710,    5450.000
      0.156,       1.740,    5500.000
      0.184,       1.770,    5550.000
      0.211,       1.802,    5600.000
      0.238,       1.834,    5650.000
      0.266,       1.867,    5700.000
      0.293,       1.902,    5750.000
      0.320,       1.938,    5800.000
      0.348,       1.974,    5850.000
      0.375,       2.012,    5900.000
      0.403,       2.052,    5950.000
      0.431,       2.092,    6000.000
      0.459,       2.134,    6050.000
      0.487,       2.178,    6100.000
      0.515,       2.222,    6150.000
      0.543,       2.269,    6200.000
      0.571,       2.316,    6250.000
      0.599,       2.366,    6300.000
      0.627,       2.417,    6350.000
      0.656,       2.469,    6400.000
      0.684,       2.524,    6450.000
      0.712,       2.580,    6500.000
      0.741,       2.638,    6550.000
      0.770,       2.697,    6600.000
      0.798,       2.759,    6650.000
      0.827,       2.823,    6700.000
      0.856,       2.888,    6750.000
      0.885,       2.956,    6800.000
