# Beta parameters voor een beta-verdeling met verwachting 0 (A en B verschoven)
#Herhaaltijd,      Q-werklijn,           alpha,            beta,               A,               B
      1.0006,     1.95480e+03,     6.25581e+00,     6.54024e+00,    -1.09343e+03,     1.14314e+03
      1.0707,     3.41028e+03,     7.28719e+00,     6.58994e+00,    -8.58236e+02,     7.76119e+02
      1.5820,     5.22042e+03,     6.99992e+00,     6.80226e+00,    -1.26922e+03,     1.23338e+03
      3.2489,     6.95823e+03,     7.11562e+00,     8.56680e+00,    -1.44816e+03,     1.74350e+03
      7.9003,     8.70718e+03,     6.23346e+00,     7.26978e+00,    -1.81356e+03,     2.11507e+03
     20.5897,     1.04040e+04,     7.64291e+00,     6.83203e+00,    -2.55739e+03,     2.28606e+03
     55.0997,     1.19273e+04,     5.40783e+00,     6.22771e+00,    -2.47949e+03,     2.85540e+03
    148.9137,     1.32235e+04,     5.63981e+00,     6.83237e+00,    -2.28965e+03,     2.77381e+03
    403.9290,     1.39051e+04,     4.89154e+00,     6.38340e+00,    -1.89642e+03,     2.47480e+03
   1097.1332,     1.43175e+04,     6.90105e+00,     6.29377e+00,    -2.70322e+03,     2.46535e+03
   2981.4580,     1.46168e+04,     6.16965e+00,     4.43317e+00,    -3.18470e+03,     2.28834e+03
   8103.5839,     1.52661e+04,     5.44287e+00,     5.39022e+00,    -3.49110e+03,     3.45733e+03
  22026.9658,     1.57685e+04,     3.74630e+00,     3.90107e+00,    -3.27735e+03,     3.41274e+03
  59874.6417,     1.58703e+04,     3.78981e+00,     3.53833e+00,    -3.43705e+03,     3.20897e+03
