      Qref,   distpar1,   distpar2,   distpar3
  1954.798,   2222.127,      3.483,  -1034.540
  2443.127,   3157.190,      3.534,  -2064.508
  3410.284,   3827.402,      3.471,  -2792.129
  4494.673,   4620.190,      3.463,  -3655.656
  5578.569,   5443.291,      3.471,  -4552.859
  6615.121,   6288.791,      3.433,  -5470.862
  7647.688,   7068.894,      3.397,  -6319.905
  8707.180,   7875.801,      3.307,  -7197.042
  9732.933,   8702.459,      3.123,  -8094.467
 11185.315,   9749.143,      2.867,  -9220.679
 13223.494,  10852.959,      3.765, -10542.336
 14114.883,  12125.676,      3.346, -11856.023
 14642.090,  12719.400,      2.697, -12413.934
 15354.039,  12892.279,      2.643, -12562.112
 16243.818,  12531.794,      3.418, -12389.233
 16876.695,  12355.778,      4.165, -12321.921
 17230.178,  12513.157,      4.505, -12485.383
