  StdGumVar, Herhaaltijd, Afvoer [m3/s]
     -2.000,       1.001,    1954.798
     -1.800,       1.002,    2152.989
     -1.600,       1.007,    2443.127
     -1.400,       1.018,    2745.476
     -1.200,       1.038,    3073.556
     -1.000,       1.071,    3410.284
     -0.800,       1.121,    3757.623
     -0.600,       1.193,    4125.872
     -0.400,       1.290,    4494.673
     -0.200,       1.418,    4857.682
     -0.000,       1.582,    5220.424
      0.200,       1.789,    5578.569
      0.400,       2.047,    5926.074
      0.600,       2.368,    6277.629
      0.800,       2.763,    6615.121
      1.000,       3.249,    6958.227
      1.200,       3.845,    7302.258
      1.400,       4.576,    7647.688
      1.600,       5.470,    7996.415
      1.800,       6.563,    8350.280
      2.000,       7.900,    8707.180
      2.200,       9.534,    9045.540
      2.400,      11.531,    9392.496
      2.600,      13.970,    9732.933
      2.800,      16.950,   10075.140
      3.000,      20.590,   10404.027
      3.500,      33.618,   11185.315
      4.000,      55.100,   11927.321
      4.500,      90.518,   12604.969
      5.000,     148.914,   13223.494
      5.500,     245.192,   13687.831
      6.000,     403.929,   13905.053
      6.500,     665.642,   14114.883
      7.000,    1097.133,   14317.510
      7.500,    1808.542,   14460.931
      8.000,    2981.458,   14642.090
      8.500,    4915.269,   14823.231
      9.000,    8103.584,   15057.419
      9.500,   13360.227,   15354.039
     10.000,   22026.966,   15650.658
     10.500,   36316.003,   15947.276
     11.000,   59874.642,   16243.818
     11.500,   98716.271,   16536.198
     12.000,  162755.291,   16752.055
     12.500,  268337.787,   16876.695
     13.000,  442413.892,   16994.609
     13.500,  729416.870,   17112.394
     14.000, 1202604.784,   17230.178
     14.500, 1982759.763,   17347.962
