#Herhaaltijd,  std.gum.var,       afvoer
      1.0006,      -2.0000,    1954.7981
      1.0024,      -1.8000,    2152.9894
      1.0071,      -1.6000,    2443.1268
      1.0176,      -1.4000,    2745.4756
      1.0375,      -1.2000,    3073.5555
      1.0707,      -1.0000,    3410.2838
      1.1211,      -0.8000,    3757.6229
      1.1929,      -0.6000,    4125.8718
      1.2903,      -0.4000,    4494.6733
      1.4181,      -0.2000,    4857.6817
      1.5820,      -0.0000,    5220.4241
      1.7889,       0.2000,    5578.5689
      2.0473,       0.4000,    5926.0740
      2.3676,       0.6000,    6277.6289
      2.7629,       0.8000,    6615.1211
      3.2489,       1.0000,    6958.2267
      3.8452,       1.2000,    7302.2581
      4.5757,       1.4000,    7647.6882
      5.4698,       1.6000,    7996.4149
      6.5634,       1.8000,    8350.2801
      7.9003,       2.0000,    8707.1804
      9.5342,       2.2000,    9045.5396
     11.5307,       2.4000,    9392.4959
     13.9699,       2.6000,    9732.9327
     16.9497,       2.8000,   10075.1400
     20.5897,       3.0000,   10404.0270
     33.6180,       3.5000,   11185.3153
     55.0997,       4.0000,   11927.3212
     90.5181,       4.5000,   12604.9694
    148.9137,       5.0000,   13223.4938
    245.1923,       5.5000,   13687.8309
    403.9290,       6.0000,   13905.0528
    665.6418,       6.5000,   14114.8832
   1097.1332,       7.0000,   14317.5105
   1808.5425,       7.5000,   14441.6145
   2981.4580,       8.0000,   14616.8131
   4915.2689,       8.5000,   14872.6308
   8103.5839,       9.0000,   15266.0612
  13360.2268,       9.5000,   15496.8444
  22026.9658,      10.0000,   15768.5410
  36316.0027,      10.5000,   15806.4441
