#Herhaaltijd,  std.gum.var,       afvoer
      1.0006,      -2.0000,    1863.3812
      1.0707,      -1.0000,    3470.9748
      1.5820,       0.0000,    5203.5809
      3.2489,       1.0000,    6958.7483
      7.9003,       2.0000,    8690.9269
     20.5897,       3.0000,   10354.9564
     55.0997,       4.0000,   11844.4947
    148.9137,       5.0000,   13059.2180
    403.9290,       6.0000,   13833.7833
   1097.1332,       7.0000,   14283.0641
   2981.4580,       8.0000,   14696.5369
   8103.5839,       9.0000,   15200.4482
  22026.9658,      10.0000,   15682.5145
  59874.6417,      11.0000,   16017.9256
 162755.2914,      12.0000,   16350.9508
 442413.8920,      13.0000,   16683.9760
